Date,Open,High,Low,Close,Adj Close,Volume
8/3/01,2079.149902,2079.149902,2047.619995,2066.330078,2066.330078,1245120000
8/6/01,2047.859985,2053.600098,2032.51001,2034.26001,2034.26001,1106550000
8/7/01,2026.839966,2043.47998,2013.75,2027.790039,2027.790039,1318020000
8/8/01,2015.75,2038.640015,1958.670044,1966.359985,1966.359985,1661690000
8/9/01,1962.47998,1971.609985,1941.23999,1963.319946,1963.319946,1457150000
8/10/01,1957.339966,1967.030029,1915.98999,1956.469971,1956.469971,1372690000
8/13/01,1963.040039,1986.329956,1951.459961,1982.25,1982.25,1147040000
8/14/01,1990.829956,1998.589966,1961.530029,1964.530029,1964.530029,1231860000
8/15/01,1964.199951,1975.180054,1918.73999,1918.890015,1918.890015,1463930000
8/16/01,1899.900024,1930.459961,1879.069946,1930.319946,1930.319946,1613790000
8/17/01,1895.420044,1903.72998,1862.76001,1867.01001,1867.01001,1301510000
8/20/01,1866.290039,1881.619995,1854.959961,1881.349976,1881.349976,1165790000
8/21/01,1883.439941,1893.390015,1831.280029,1831.300049,1831.300049,1325960000
8/22/01,1851.75,1860.02002,1817.699951,1860.01001,1860.01001,1550540000
8/23/01,1857.52002,1883.47998,1842.51001,1842.969971,1842.969971,1456290000
8/24/01,1863.319946,1916.829956,1857.72998,1916.800049,1916.800049,1495650000
8/27/01,1912.699951,1933.939941,1897.630005,1912.410034,1912.410034,1195290000
8/28/01,1912.670044,1916.280029,1864.719971,1864.97998,1864.97998,1433940000
8/29/01,1875.439941,1879.76001,1833.650024,1843.170044,1843.170044,1466700000
8/30/01,1817.189941,1833.290039,1777.109985,1791.680054,1791.680054,1734810000
8/31/01,1784.26001,1817.719971,1782.099976,1805.430054,1805.430054,1232880000
9/4/01,1802.290039,1836.189941,1770.76001,1770.780029,1770.780029,1536580000
9/5/01,1771.75,1782.5,1715.859985,1759.01001,1759.01001,1950580000
9/6/01,1736.199951,1753.829956,1702.920044,1705.640015,1705.640015,1887800000
9/7/01,1694.02002,1724.569946,1676.420044,1687.699951,1687.699951,1712760000
9/10/01,1673.780029,1702.119995,1669.939941,1695.380005,1695.380005,1612970000
9/17/01,1613.829956,1629.099976,1579.280029,1579.550049,1579.550049,2254620000
9/18/01,1591.77002,1605.060059,1548.849976,1555.079956,1555.079956,1864980000
9/19/01,1560.52002,1568.219971,1451.310059,1527.800049,1527.800049,2464030000
9/20/01,1494.939941,1513.23999,1467.099976,1470.930054,1470.930054,2804660000
9/21/01,1395.790039,1454.040039,1387.060059,1423.189941,1423.189941,2588150000
9/24/01,1459.469971,1507.51001,1459.469971,1499.400024,1499.400024,2052290000
9/25/01,1505.52002,1528.329956,1480.689941,1501.640015,1501.640015,2181960000
9/26/01,1514.76001,1516.119995,1458.339966,1464.040039,1464.040039,1760620000
9/27/01,1456.800049,1465.699951,1418.150024,1460.709961,1460.709961,2043090000
9/28/01,1472.560059,1499.579956,1466.780029,1498.800049,1498.800049,2114360000
10/1/01,1491.449951,1491.449951,1458.410034,1480.459961,1480.459961,1505140000
10/2/01,1479.01001,1504.23999,1473.130005,1492.329956,1492.329956,1784730000
10/3/01,1479.27002,1595.47998,1473.219971,1580.810059,1580.810059,2713300000
10/4/01,1602.599976,1641.560059,1581.079956,1597.310059,1597.310059,2558580000
10/5/01,1586.400024,1608.76001,1548.810059,1605.300049,1605.300049,1836380000
10/8/01,1582.930054,1621.109985,1574.650024,1605.949951,1605.949951,1417520000
10/9/01,1604.109985,1607.199951,1565.969971,1570.189941,1570.189941,1527430000
10/10/01,1563.959961,1626.98999,1558.810059,1626.26001,1626.26001,1857510000
10/11/01,1649.550049,1701.47998,1649.550049,1701.469971,1701.469971,2532940000
10/12/01,1690.209961,1707.430054,1651.23999,1703.400024,1703.400024,2185970000
10/15/01,1684.040039,1698.23999,1663.780029,1696.310059,1696.310059,1586210000
10/16/01,1704.75,1722.849976,1690.540039,1722.069946,1722.069946,1843310000
10/17/01,1752.939941,1754.01001,1646.339966,1646.339966,1646.339966,2292410000
10/18/01,1648.689941,1668,1634.719971,1652.719971,1652.719971,1793870000
10/19/01,1644.48999,1675.199951,1628.23999,1671.310059,1671.310059,1591110000
10/22/01,1666.079956,1708.089966,1660.219971,1708.079956,1708.079956,1530830000
10/23/01,1720.540039,1739.469971,1695.219971,1704.439941,1704.439941,1839490000
10/24/01,1707.52002,1736.170044,1697.689941,1731.540039,1731.540039,1895000000
10/25/01,1708.48999,1775.51001,1683.609985,1775.469971,1775.469971,2259620000
10/26/01,1763.780029,1792.869995,1763,1768.959961,1768.959961,1999200000
10/29/01,1763.420044,1767.969971,1699.400024,1699.52002,1699.52002,1659170000
10/30/01,1682.300049,1686.680054,1646.300049,1667.410034,1667.410034,1778560000
10/31/01,1690.119995,1721.689941,1677.709961,1690.199951,1690.199951,1897610000
11/1/01,1705.52002,1746.650024,1683.98999,1746.300049,1746.300049,1784910000
11/2/01,1741.369995,1759.650024,1726.609985,1745.72998,1745.72998,1643860000
11/5/01,1768.290039,1801.550049,1768.290039,1793.650024,1793.650024,1734250000
11/6/01,1786.920044,1835.48999,1777.910034,1835.079956,1835.079956,1945510000
11/7/01,1821.040039,1868.310059,1820.280029,1837.530029,1837.530029,2065810000
11/8/01,1855.680054,1888.390015,1816.560059,1827.77002,1827.77002,2300720000
11/9/01,1824.72998,1838.380005,1809.290039,1828.47998,1828.47998,1524360000
11/12/01,1826.25,1848,1782.47998,1840.130005,1840.130005,1594470000
11/13/01,1871.469971,1893.920044,1867.27002,1892.109985,1892.109985,2189000000
11/14/01,1910.449951,1922.449951,1875.27002,1903.189941,1903.189941,2175590000
11/15/01,1891.359985,1922.119995,1882.839966,1900.569946,1900.569946,2025550000
11/16/01,1903.47998,1908.209961,1882.530029,1898.579956,1898.579956,1714140000
11/19/01,1912.47998,1934.699951,1905.359985,1934.420044,1934.420044,1924900000
11/20/01,1926.469971,1930.209961,1877.790039,1880.51001,1880.51001,1988580000
11/21/01,1873.599976,1884.48999,1853.670044,1875.050049,1875.050049,1577590000
11/23/01,1878.910034,1905.579956,1873.640015,1903.199951,1903.199951,569820000
11/26/01,1914.530029,1941.310059,1906.890015,1941.22998,1941.22998,1734130000
11/27/01,1931.589966,1965.089966,1902.890015,1935.969971,1935.969971,2137420000
11/28/01,1921.599976,1941.790039,1887.969971,1887.969971,1887.969971,1905150000
11/29/01,1898.630005,1933.459961,1889.290039,1933.26001,1933.26001,1957120000
11/30/01,1929.290039,1941.939941,1916.72998,1930.579956,1930.579956,1831850000
12/3/01,1915.130005,1925.349976,1898.97998,1904.900024,1904.900024,1496760000
12/4/01,1917.660034,1963.219971,1913.920044,1963.099976,1963.099976,1908630000
12/5/01,1980.300049,2056.810059,1980.300049,2046.839966,2046.839966,2777500000
12/6/01,2045.219971,2065.689941,2037.640015,2054.27002,2054.27002,2212470000
12/7/01,2043.680054,2046.98999,2002.339966,2021.26001,2021.26001,1916720000
12/10/01,2007.670044,2036.540039,1989.680054,1992.119995,1992.119995,1679480000
12/11/01,2009.930054,2032.630005,1995.089966,2001.930054,2001.930054,1965200000
12/12/01,2007.47998,2022.76001,1975.650024,2011.380005,2011.380005,1895290000
12/13/01,1979.839966,1985.790039,1945.290039,1946.51001,1946.51001,2095820000
12/14/01,1945.180054,1965.73999,1934.599976,1953.170044,1953.170044,1900020000
12/17/01,1950.939941,1994.47998,1950.939941,1987.449951,1987.449951,1840920000
12/18/01,1998.359985,2010.910034,1989.810059,2004.76001,2004.76001,1852020000
12/19/01,1981.650024,2007.76001,1971.069946,1982.890015,1982.890015,1919850000
12/20/01,1969,1972.319946,1918.5,1918.540039,1918.540039,2043110000
12/21/01,1941.550049,1954.469971,1931.869995,1945.829956,1945.829956,2359670000
12/24/01,1946.839966,1953.900024,1942.069946,1944.47998,1944.47998,564380000
12/26/01,1948.77002,1983.839966,1948.77002,1960.699951,1960.699951,1127350000
12/27/01,1967.319946,1982.72998,1962.119995,1976.420044,1976.420044,1241060000
12/28/01,1985.709961,2002.719971,1982.369995,1987.26001,1987.26001,1328290000
12/31/01,1984.310059,1989.170044,1950.400024,1950.400024,1950.400024,1414840000
1/2/02,1965.180054,1979.26001,1936.560059,1979.25,1979.25,1517670000
1/3/02,1987.060059,2044.560059,1987.060059,2044.27002,2044.27002,2209630000
1/4/02,2061.830078,2077.889893,2033.560059,2059.379883,2059.379883,2205610000
1/7/02,2075.23999,2081.090088,2036.859985,2037.099976,2037.099976,2121110000
1/8/02,2039.420044,2060.22998,2027.339966,2055.73999,2055.73999,1873670000
1/9/02,2074.320068,2098.879883,2034.089966,2044.890015,2044.890015,2321450000
1/10/02,2045.130005,2055.889893,2026.050049,2047.23999,2047.23999,1761640000
1/11/02,2049.5,2058.77002,2018.680054,2022.459961,2022.459961,1625530000
1/14/02,2012.589966,2018.420044,1979.939941,1990.73999,1990.73999,1801650000
1/15/02,1994.880005,2011.25,1977.280029,2000.910034,2000.910034,1675150000
1/16/02,1976.420044,1981.810059,1944.319946,1944.439941,1944.439941,1917270000
1/17/02,1968.699951,1985.829956,1954.060059,1985.819946,1985.819946,1893110000
1/18/02,1943.560059,1964.73999,1922.699951,1930.339966,1930.339966,1693010000
1/22/02,1946.869995,1947.410034,1882.140015,1882.530029,1882.530029,1817220000
1/23/02,1889.530029,1925.150024,1879.23999,1922.380005,1922.380005,1871120000
1/24/02,1937.670044,1959.930054,1936.339966,1942.579956,1942.579956,1907870000
1/25/02,1929.150024,1951.790039,1923.060059,1937.699951,1937.699951,1655310000
1/28/02,1951.119995,1958.959961,1925.430054,1943.910034,1943.910034,1482080000
1/29/02,1947.089966,1959.050049,1883.48999,1892.98999,1892.98999,1875380000
1/30/02,1897.72998,1913.660034,1851.48999,1913.439941,1913.439941,2066970000
1/31/02,1924.560059,1935.170044,1906.900024,1934.030029,1934.030029,1803530000
2/1/02,1928.829956,1942.150024,1901.209961,1911.23999,1911.23999,1710000000
2/4/02,1907.579956,1907.579956,1849.130005,1855.530029,1855.530029,1779030000
